Model,Metric,Group,Level,Value,Variant
Control,Biomass (g m3),Active,Func Group,0.006141904,v1
Control,Biomass (g m3),Inactive,Func Group,0.006141904,v1
Control,Biomass (g m3),Fish,Func Group,0.025034086,v1
Control,Biomass (g m3),Zoo,Func Group,0.040456546,v1
Control,Total Biomass (g m3),,Community,0.07777444,v1
Control,P:B,Active,Func Group,0.0803983,v1
Control,P:B,Inactive,Func Group,0.0803983,v1
Control,P:B,Fish,Func Group,0.08699314,v1
Control,P:B,Zoo,Func Group,0.60700338,v1
Control,CV,Active,Func Group,10.8522,v1
Control,CV,Inactive,Func Group,10.8522,v1
Control,CV,Fish,Func Group,5.6752,v1
Control,CV,Zoo,Func Group,24.8476,v1
Control,Community CV,,Community,12.267,v1
Control,Mean FG CV,,Community,13.0568,v1
Control,Mean P:B,NA,Community,0.21369828,v1
Control,Biomass (g m3),Active,Func Group,0.005670704,v2
Control,Biomass (g m3),Inactive,Func Group,0.005670704,v2
Control,Biomass (g m3),Fish,Func Group,0.025386617,v2
Control,Biomass (g m3),Zoo,Func Group,0.039947868,v2
Control,Total Biomass (g m3),,Community,0.076675893,v2
Control,P:B,Active,Func Group,0.07852853,v2
Control,P:B,Inactive,Func Group,0.07852853,v2
Control,P:B,Fish,Func Group,0.08601749,v2
Control,P:B,Zoo,Func Group,0.61115553,v2
Control,CV,Active,Func Group,9.85628,v2
Control,CV,Inactive,Func Group,9.85628,v2
Control,CV,Fish,Func Group,5.25989,v2
Control,CV,Zoo,Func Group,22.7451,v2
Control,Community CV,,Community,11.2763,v2
Control,Mean FG CV,,Community,11.9293875,v2
Control,Mean P:B,NA,Community,0.21355752,v2
Control,Biomass (g m3),Active,Func Group,0.005182003,v3
Control,Biomass (g m3),Inactive,Func Group,0.005182003,v3
Control,Biomass (g m3),Fish,Func Group,0.025779449,v3
Control,Biomass (g m3),Zoo,Func Group,0.039421226,v3
Control,Total Biomass (g m3),,Community,0.075564681,v3
Control,P:B,Active,Func Group,0.07664788,v3
Control,P:B,Inactive,Func Group,0.07664788,v3
Control,P:B,Fish,Func Group,0.08497209,v3
Control,P:B,Zoo,Func Group,0.61489711,v3
Control,CV,Active,Func Group,8.77292,v3
Control,CV,Inactive,Func Group,8.77292,v3
Control,CV,Fish,Func Group,4.78755,v3
Control,CV,Zoo,Func Group,20.5118,v3
Control,Community CV,,Community,10.2151,v3
Control,Mean FG CV,,Community,10.7112975,v3
Control,Mean P:B,NA,Community,0.21329124,v3
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000858759,v1
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001384607,v1
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033291777,v1
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035388964,v1
Feeding + Growth,Total Biomass (g m3),,Community,0.070924107,v1
Feeding + Growth,P:B,Active,Func Group,0.13822805,v1
