"","Predator","Predator_Size_Class","Predator_Size","Median_RTP","Max_RTP","Min_RTP","Func_Group"
"1","Active Cephs",1,5.01187233627271e-13,NA,NA,NA,"High Activity"
"2","Active Cephs",2,6.30957344480192e-13,NA,NA,NA,"High Activity"
"3","Active Cephs",3,7.94328234724279e-13,NA,NA,NA,"High Activity"
"4","Active Cephs",4,1e-12,NA,NA,NA,"High Activity"
"5","Active Cephs",5,1.25892541179417e-12,NA,NA,NA,"High Activity"
"6","Active Cephs",6,1.58489319246111e-12,NA,NA,NA,"High Activity"
"7","Active Cephs",7,1.99526231496887e-12,NA,NA,NA,"High Activity"
"8","Active Cephs",8,2.51188643150957e-12,NA,NA,NA,"High Activity"
"9","Active Cephs",9,3.16227766016838e-12,NA,NA,NA,"High Activity"
"10","Active Cephs",10,3.98107170553497e-12,NA,NA,NA,"High Activity"
"11","Active Cephs",11,5.01187233627271e-12,NA,NA,NA,"High Activity"
"12","Active Cephs",12,6.30957344480192e-12,NA,NA,NA,"High Activity"
"13","Active Cephs",13,7.94328234724279e-12,NA,NA,NA,"High Activity"
"14","Active Cephs",14,1e-11,NA,NA,NA,"High Activity"
"15","Active Cephs",15,1.25892541179417e-11,NA,NA,NA,"High Activity"
"16","Active Cephs",16,1.58489319246111e-11,NA,NA,NA,"High Activity"
"17","Active Cephs",17,1.99526231496887e-11,NA,NA,NA,"High Activity"
"18","Active Cephs",18,2.51188643150957e-11,NA,NA,NA,"High Activity"
"19","Active Cephs",19,3.16227766016838e-11,NA,NA,NA,"High Activity"
"20","Active Cephs",20,3.98107170553497e-11,NA,NA,NA,"High Activity"
"21","Active Cephs",21,5.01187233627271e-11,NA,NA,NA,"High Activity"
"22","Active Cephs",22,6.30957344480192e-11,NA,NA,NA,"High Activity"
"23","Active Cephs",23,7.94328234724279e-11,NA,NA,NA,"High Activity"
"24","Active Cephs",24,1e-10,NA,NA,NA,"High Activity"
"25","Active Cephs",25,1.25892541179417e-10,NA,NA,NA,"High Activity"
"26","Active Cephs",26,1.58489319246111e-10,NA,NA,NA,"High Activity"
"27","Active Cephs",27,1.99526231496887e-10,NA,NA,NA,"High Activity"
"28","Active Cephs",28,2.51188643150957e-10,NA,NA,NA,"High Activity"
"29","Active Cephs",29,3.16227766016838e-10,NA,NA,NA,"High Activity"
"30","Active Cephs",30,3.98107170553497e-10,NA,NA,NA,"High Activity"
"31","Active Cephs",31,5.01187233627271e-10,NA,NA,NA,"High Activity"
"32","Active Cephs",32,6.30957344480192e-10,NA,NA,NA,"High Activity"
"33","Active Cephs",33,7.94328234724279e-10,NA,NA,NA,"High Activity"
"34","Active Cephs",34,1e-09,NA,NA,NA,"High Activity"
"35","Active Cephs",35,1.25892541179417e-09,NA,NA,NA,"High Activity"
"36","Active Cephs",36,1.58489319246111e-09,NA,NA,NA,"High Activity"
"37","Active Cephs",37,1.99526231496887e-09,NA,NA,NA,"High Activity"
"38","Active Cephs",38,2.51188643150957e-09,NA,NA,NA,"High Activity"
"39","Active Cephs",39,3.16227766016838e-09,NA,NA,NA,"High Activity"
"40","Active Cephs",40,3.98107170553497e-09,NA,NA,NA,"High Activity"
"41","Active Cephs",41,5.01187233627271e-09,NA,NA,NA,"High Activity"
"42","Active Cephs",42,6.30957344480194e-09,NA,NA,NA,"High Activity"
