"","fk_value","w_prey","Predator_Size","Species","Type"
"1",7.73848507107653e-51,3.16e-15,"1 g","high activity","Beta"
"2",4.38003777211465e-50,3.98e-15,"1 g","high activity","Beta"
"3",2.43628618304967e-49,5.01e-15,"1 g","high activity","Beta"
"4",1.34268435545267e-48,6.31e-15,"1 g","high activity","Beta"
"5",7.25291640306831e-48,7.94e-15,"1 g","high activity","Beta"
"6",3.89167233001609e-47,1e-14,"1 g","high activity","Beta"
"7",2.0670815393969e-46,1.26e-14,"1 g","high activity","Beta"
"8",1.04689053068656e-45,1.58e-14,"1 g","high activity","Beta"
"9",5.59531566889067e-45,2e-14,"1 g","high activity","Beta"
"10",2.77667006653321e-44,2.51e-14,"1 g","high activity","Beta"
"11",1.39048064521882e-43,3.16e-14,"1 g","high activity","Beta"
"12",6.891430914962e-43,3.98e-14,"1 g","high activity","Beta"
"13",3.35754103576701e-42,5.01e-14,"1 g","high activity","Beta"
"14",1.62028725323162e-41,6.31e-14,"1 g","high activity","Beta"
"15",7.66807512210196e-41,7.94e-14,"1 g","high activity","Beta"
"16",3.60281530645589e-40,1e-13,"1 g","high activity","Beta"
"17",1.6752723121822e-39,1.26e-13,"1 g","high activity","Beta"
"18",7.44819078300198e-39,1.58e-13,"1 g","high activity","Beta"
"19",3.4757099765992e-38,2e-13,"1 g","high activity","Beta"
"20",1.51341949084462e-37,2.51e-13,"1 g","high activity","Beta"
"21",6.63785366341896e-37,3.16e-13,"1 g","high activity","Beta"
"22",2.88067779261271e-36,3.98e-13,"1 g","high activity","Beta"
"23",1.22932887651753e-35,5.01e-13,"1 g","high activity","Beta"
"24",5.19474015791443e-35,6.31e-13,"1 g","high activity","Beta"
"25",2.15384165904784e-34,7.94e-13,"1 g","high activity","Beta"
"26",8.86138199697438e-34,1e-12,"1 g","high activity","Beta"
"27",3.60717273740712e-33,1.26e-12,"1 g","high activity","Beta"
"28",1.40784239787342e-32,1.58e-12,"1 g","high activity","Beta"
"29",5.73609314196627e-32,2e-12,"1 g","high activity","Beta"
"30",2.19153340008985e-31,2.51e-12,"1 g","high activity","Beta"
"31",8.41868240992224e-31,3.16e-12,"1 g","high activity","Beta"
"32",3.19914326469736e-30,3.98e-12,"1 g","high activity","Beta"
"33",1.19582757511185e-29,5.01e-12,"1 g","high activity","Beta"
"34",4.42475643140275e-29,6.31e-12,"1 g","high activity","Beta"
"35",1.60729248186623e-28,7.94e-12,"1 g","high activity","Beta"
"36",5.79048105025305e-28,1e-11,"1 g","high activity","Beta"
"37",2.06348917946412e-27,1.26e-11,"1 g","high activity","Beta"
"38",7.06986326585862e-27,1.58e-11,"1 g","high activity","Beta"
"39",2.51502661758524e-26,2e-11,"1 g","high activity","Beta"
"40",8.43122330137946e-26,2.51e-11,"1 g","high activity","Beta"
"41",2.83670585816768e-25,3.16e-11,"1 g","high activity","Beta"
"42",9.43900944156225e-25,3.98e-11,"1 g","high activity","Beta"
"43",3.09045746873018e-24,5.01e-11,"1 g","high activity","Beta"
"44",1.00131019074515e-23,6.31e-11,"1 g","high activity","Beta"
"45",3.18661635379508e-23,7.94e-11,"1 g","high activity","Beta"
"46",1.00526730421094e-22,1e-10,"1 g","high activity","Beta"
"47",3.13610921452678e-22,1.26e-10,"1 g","high activity","Beta"
"48",9.43238926996766e-22,1.58e-10,"1 g","high activity","Beta"
"49",2.9296969807074e-21,2e-10,"1 g","high activity","Beta"
"50",8.61760961660572e-21,2.51e-10,"1 g","high activity","Beta"
"51",2.53944149367209e-20,3.16e-10,"1 g","high activity","Beta"
"52",7.39899746574637e-20,3.98e-10,"1 g","high activity","Beta"
"53",2.12192830135387e-19,5.01e-10,"1 g","high activity","Beta"
"54",6.02007123051861e-19,6.31e-10,"1 g","high activity","Beta"
"55",1.6784885178875e-18,7.94e-10,"1 g","high activity","Beta"
"56",4.63662739887063e-18,1e-09,"1 g","high activity","Beta"
"57",1.26629207219209e-17,1.26e-09,"1 g","high activity","Beta"
"58",3.34338310447067e-17,1.58e-09,"1 g","high activity","Beta"
"59",9.06685244426201e-17,2e-09,"1 g","high activity","Beta"
"60",2.34011266854078e-16,2.51e-09,"1 g","high activity","Beta"
"61",6.03970663531418e-16,3.16e-09,"1 g","high activity","Beta"
"62",1.54089506191911e-15,3.98e-09,"1 g","high activity","Beta"
"63",3.87072543372973e-15,5.01e-09,"1 g","high activity","Beta"
"64",9.61586484344368e-15,6.31e-09,"1 g","high activity","Beta"
"65",2.3488792725294e-14,7.94e-09,"1 g","high activity","Beta"
"66",5.68167729988071e-14,1e-08,"1 g","high activity","Beta"
"67",1.3584082924468e-13,1.26e-08,"1 g","high activity","Beta"
"68",3.14850435310504e-13,1.58e-08,"1 g","high activity","Beta"
"69",7.4549394301337e-13,2e-08,"1 g","high activity","Beta"
"70",1.68826433441757e-12,2.51e-08,"1 g","high activity","Beta"
"71",3.81634126958007e-12,3.16e-08,"1 g","high activity","Beta"
"72",8.52563969757287e-12,3.98e-08,"1 g","high activity","Beta"
"73",1.87589166510031e-11,5.01e-08,"1 g","high activity","Beta"
"74",4.08064484201539e-11,6.31e-08,"1 g","high activity","Beta"
"75",8.73286493135511e-11,7.94e-08,"1 g","high activity","Beta"
"76",1.84971431150412e-10,1e-07,"1 g","high activity","Beta"
"77",3.87151090577533e-10,1.26e-07,"1 g","high activity","Beta"
"78",7.87727812493547e-10,1.58e-07,"1 g","high activity","Beta"
"79",1.62849120441813e-09,2e-07,"1 g","high activity","Beta"
"80",3.2359205548591e-09,2.51e-07,"1 g","high activity","Beta"
"81",6.4066690479191e-09,3.16e-07,"1 g","high activity","Beta"
"82",1.25324105431238e-08,3.98e-07,"1 g","high activity","Beta"
"83",2.41533218296576e-08,5.01e-07,"1 g","high activity","Beta"
"84",4.60069000781558e-08,6.31e-07,"1 g","high activity","Beta"
"85",8.62594167768406e-08,7.94e-07,"1 g","high activity","Beta"
"86",1.59987656414675e-07,1e-06,"1 g","high activity","Beta"
"87",2.93146272735783e-07,1.26e-06,"1 g","high activity","Beta"
"88",5.236025918034e-07,1.58e-06,"1 g","high activity","Beta"
"89",9.45105829655653e-07,2e-06,"1 g","high activity","Beta"
"90",1.64781701248462e-06,2.51e-06,"1 g","high activity","Beta"
"91",2.85740041211562e-06,3.16e-06,"1 g","high activity","Beta"
"92",4.89436076689409e-06,3.98e-06,"1 g","high activity","Beta"
"93",8.26227620619399e-06,5.01e-06,"1 g","high activity","Beta"
"94",1.37806871187662e-05,6.31e-06,"1 g","high activity","Beta"
"95",2.26365385894183e-05,7.94e-06,"1 g","high activity","Beta"
"96",3.67639378558127e-05,1e-05,"1 g","high activity","Beta"
"97",5.89714753418138e-05,1.26e-05,"1 g","high activity","Beta"
"98",9.24657980925584e-05,1.58e-05,"1 g","high activity","Beta"
"99",0.000145723365751951,2e-05,"1 g","high activity","Beta"
"100",0.000222932733241497,2.51e-05,"1 g","high activity","Beta"
"101",0.000338581825949507,3.16e-05,"1 g","high activity","Beta"
"102",0.000507821483889775,3.98e-05,"1 g","high activity","Beta"
"103",0.000750889924784426,5.01e-05,"1 g","high activity","Beta"
"104",0.00109666125460664,6.31e-05,"1 g","high activity","Beta"
"105",0.00157821892316551,7.94e-05,"1 g","high activity","Beta"
"106",0.00224445703747421,1e-04,"1 g","high activity","Beta"
"107",0.00314790747417721,0.000125893,"1 g","high activity","Beta"
"108",0.00435682773822339,0.000158489,"1 g","high activity","Beta"
"109",0.00595067713873518,0.000199526,"1 g","high activity","Beta"
"110",0.0080205995147999,0.000251189,"1 g","high activity","Beta"
"111",0.0106681464704559,0.000316228,"1 g","high activity","Beta"
"112",0.0140027854678037,0.000398107,"1 g","high activity","Beta"
"113",0.0181377759901455,0.000501187,"1 g","high activity","Beta"
"114",0.0231844689547739,0.000630957,"1 g","high activity","Beta"
"115",0.0292451567466699,0.000794328,"1 g","high activity","Beta"
"116",0.036404435144324,0.001,"1 g","high activity","Beta"
"117",0.0447196019290797,0.001258925,"1 g","high activity","Beta"
"118",0.0542107357461361,0.001584893,"1 g","high activity","Beta"
"119",0.0648509171208483,0.001995262,"1 g","high activity","Beta"
"120",0.0765579840263987,0.002511886,"1 g","high activity","Beta"
"121",0.0891884207713119,0.003162278,"1 g","high activity","Beta"
"122",0.102534473172996,0.003981072,"1 g","high activity","Beta"
"123",0.116325478929998,0.005011872,"1 g","high activity","Beta"
"124",0.130233696065439,0.006309573,"1 g","high activity","Beta"
"125",0.143884968386705,0.007943282,"1 g","high activity","Beta"
"126",0.156874019278981,0.01,"1 g","high activity","Beta"
"127",0.168783562889453,0.012589254,"1 g","high activity","Beta"
"128",0.179206111682036,0.015848932,"1 g","high activity","Beta"
"129",0.187766892129453,0.019952623,"1 g","high activity","Beta"
"130",0.19414613867714,0.025118864,"1 g","high activity","Beta"
"131",0.198098886808609,0.031622777,"1 g","high activity","Beta"
"132",0.19947057921489,0.039810717,"1 g","high activity","Beta"
"133",0.198207096742787,0.050118723,"1 g","high activity","Beta"
"134",0.194358298730593,0.063095734,"1 g","high activity","Beta"
"135",0.188074759356297,0.079432823,"1 g","high activity","Beta"
"136",0.179597992295978,0.1,"1 g","high activity","Beta"
"137",0.169245050953423,0.125892541,"1 g","high activity","Beta"
"138",0.157388869387991,0.158489319,"1 g","high activity","Beta"
"139",0.144436045921947,0.199526231,"1 g","high activity","Beta"
"140",0.130803902880384,0.251188643,"1 g","high activity","Beta"
"141",0.11689861125285,0.316227766,"1 g","high activity","Beta"
"142",0.103095934167193,0.398107171,"1 g","high activity","Beta"
"143",0.0897257840896854,0.501187234,"1 g","high activity","Beta"
"144",0.0770613341920818,0.630957344,"1 g","high activity","Beta"
"145",0.0653129532986909,0.794328235,"1 g","high activity","Beta"
"146",0.054626787075818,1,"1 g","high activity","Beta"
"147",0.0450874351621996,1.258925412,"1 g","high activity","Beta"
"148",0.0367239122713956,1.584893192,"1 g","high activity","Beta"
"149",0.0295179293316063,1.995262315,"1 g","high activity","Beta"
"150",0.0234135018186971,2.511886432,"1 g","high activity","Beta"
"151",0.0183269584651974,3.16227766,"1 g","high activity","Beta"
"152",0.0141565672006254,3.981071706,"1 g","high activity","Beta"
"153",0.0107911828528875,5.011872336,"1 g","high activity","Beta"
"154",0.00811752594557212,6.309573445,"1 g","high activity","Beta"
"155",0.00602589911657869,7.943282347,"1 g","high activity","Beta"
"156",0.00441431748372346,10,"1 g","high activity","Beta"
"157",0.0031911616971331,12.58925412,"1 g","high activity","Beta"
"158",0.00227655210016897,15.84893192,"1 g","high activity","Beta"
"159",0.00160269142705495,19.95262315,"1 g","high activity","Beta"
"160",0.00111343731331949,25.11886432,"1 g","high activity","Beta"
"161",0.00076335255957081,31.6227766,"1 g","high activity","Beta"
"162",0.000516449781534493,39.81071706,"1 g","high activity","Beta"
"163",0.000344805803938649,50.11872336,"1 g","high activity","Beta"
"164",0.000227177111847561,63.09573445,"1 g","high activity","Beta"
"165",0.000147705993399169,79.43282347,"1 g","high activity","Beta"
"166",9.47709423234567e-05,100,"1 g","high activity","Beta"
"167",6.00061574393254e-05,125.8925412,"1 g","high activity","Beta"
"168",3.74938444377338e-05,158.4893192,"1 g","high activity","Beta"
"169",2.31189265808342e-05,199.5262315,"1 g","high activity","Beta"
