"","fk_value","w_prey","Predator_Size","Species","Type"
"1",4.64977884028334e-29,3.16e-15,"1 g","low activity","Mode"
"2",1.6969874470601e-28,3.98e-15,"1 g","low activity","Mode"
"3",6.0927383747882e-28,5.01e-15,"1 g","low activity","Mode"
"4",2.16516435085657e-27,6.31e-15,"1 g","low activity","Mode"
"5",7.55481904137186e-27,7.94e-15,"1 g","low activity","Mode"
"6",2.61398719193203e-26,1e-14,"1 g","low activity","Mode"
"7",8.94575940562541e-26,1.26e-14,"1 g","low activity","Mode"
"8",2.94589406819721e-25,1.58e-14,"1 g","low activity","Mode"
"9",1.00559779498412e-24,2e-14,"1 g","low activity","Mode"
"10",3.23967073658587e-24,2.51e-14,"1 g","low activity","Mode"
"11",1.04691960611774e-23,3.16e-14,"1 g","low activity","Mode"
"12",3.34566318998618e-23,3.98e-14,"1 g","low activity","Mode"
"13",1.05214984153546e-22,5.01e-14,"1 g","low activity","Mode"
"14",3.27401746596292e-22,6.31e-14,"1 g","low activity","Mode"
"15",1.00085183698513e-21,7.94e-14,"1 g","low activity","Mode"
"16",3.03236325382051e-21,1e-13,"1 g","low activity","Mode"
"17",9.08483519714982e-21,1.26e-13,"1 g","low activity","Mode"
"18",2.62626583571792e-20,1.58e-13,"1 g","low activity","Mode"
"19",7.82735961432514e-20,2e-13,"1 g","low activity","Mode"
"20",2.2126257110221e-19,2.51e-13,"1 g","low activity","Mode"
"21",6.2625051516826e-19,3.16e-13,"1 g","low activity","Mode"
"22",1.7524253755344e-18,3.98e-13,"1 g","low activity","Mode"
"23",4.82721214254122e-18,5.01e-13,"1 g","low activity","Mode"
"24",1.31530006845204e-17,6.31e-13,"1 g","low activity","Mode"
"25",3.52264794480833e-17,7.94e-13,"1 g","low activity","Mode"
"26",9.34571906578461e-17,1e-12,"1 g","low activity","Mode"
"27",2.45115412474567e-16,1.26e-12,"1 g","low activity","Mode"
"28",6.22033778599492e-16,1.58e-12,"1 g","low activity","Mode"
"29",1.61867622815066e-15,2e-12,"1 g","low activity","Mode"
"30",4.01484481321138e-15,2.51e-12,"1 g","low activity","Mode"
"31",9.95260082535535e-15,3.16e-12,"1 g","low activity","Mode"
"32",2.4386561831262e-14,3.98e-12,"1 g","low activity","Mode"
"33",5.88394904637962e-14,5.01e-12,"1 g","low activity","Mode"
"34",1.40385554026865e-13,6.31e-12,"1 g","low activity","Mode"
"35",3.29399108630207e-13,7.94e-12,"1 g","low activity","Mode"
"36",7.65240497432037e-13,1e-11,"1 g","low activity","Mode"
"37",1.75702488722868e-12,1.26e-11,"1 g","low activity","Mode"
"38",3.91419971255241e-12,1.58e-11,"1 g","low activity","Mode"
"39",8.89320732486062e-12,2e-11,"1 g","low activity","Mode"
"40",1.93545598009873e-11,2.51e-11,"1 g","low activity","Mode"
"41",4.20222016500816e-11,3.16e-11,"1 g","low activity","Mode"
"42",9.01602990861077e-11,3.98e-11,"1 g","low activity","Mode"
"43",1.90543942932715e-10,5.01e-11,"1 g","low activity","Mode"
"44",3.98083085228696e-10,6.31e-11,"1 g","low activity","Mode"
"45",8.1833160449958e-10,7.94e-11,"1 g","low activity","Mode"
"46",1.66470351111849e-09,1e-10,"1 g","low activity","Mode"
"47",3.34610013150885e-09,1.26e-10,"1 g","low activity","Mode"
"48",6.54373523557822e-09,1.58e-10,"1 g","low activity","Mode"
"49",1.29810723979121e-08,2e-10,"1 g","low activity","Mode"
"50",2.47885749165254e-08,2.51e-10,"1 g","low activity","Mode"
"51",4.71383900571268e-08,3.16e-10,"1 g","low activity","Mode"
"52",8.85592314824884e-08,3.98e-10,"1 g","low activity","Mode"
"53",1.63936296343533e-07,5.01e-10,"1 g","low activity","Mode"
"54",2.9990158125137e-07,6.31e-10,"1 g","low activity","Mode"
"55",5.40119622698925e-07,7.94e-10,"1 g","low activity","Mode"
"56",9.62120730764708e-07,1e-09,"1 g","low activity","Mode"
"57",1.69298721995211e-06,1.26e-09,"1 g","low activity","Mode"
"58",2.90644550396035e-06,1.58e-09,"1 g","low activity","Mode"
"59",5.03403758645432e-06,2e-09,"1 g","low activity","Mode"
"60",8.43477590510648e-06,2.51e-09,"1 g","low activity","Mode"
"61",1.40483207933475e-05,3.16e-09,"1 g","low activity","Mode"
"62",2.31103254361852e-05,3.98e-09,"1 g","low activity","Mode"
"63",3.7472167736395e-05,5.01e-09,"1 g","low activity","Mode"
"64",6.00257387077478e-05,6.31e-09,"1 g","low activity","Mode"
"65",9.47118486905842e-05,7.94e-09,"1 g","low activity","Mode"
"66",0.000147732475825248,1e-08,"1 g","low activity","Mode"
"67",0.000227573743299675,1.26e-08,"1 g","low activity","Mode"
"68",0.000342967032893399,1.58e-08,"1 g","low activity","Mode"
"69",0.000518652006544288,2e-08,"1 g","low activity","Mode"
"70",0.000762516532297361,2.51e-08,"1 g","low activity","Mode"
"71",0.00111231504786538,3.16e-08,"1 g","low activity","Mode"
"72",0.00160225638180801,3.98e-08,"1 g","low activity","Mode"
"73",0.00227560166230129,5.01e-08,"1 g","low activity","Mode"
"74",0.00319190530068775,6.31e-08,"1 g","low activity","Mode"
"75",0.00441237483083131,7.94e-08,"1 g","low activity","Mode"
"76",0.006026651890323,1e-07,"1 g","low activity","Mode"
"77",0.00812726373958068,1.26e-07,"1 g","low activity","Mode"
"78",0.0107521742742704,1.58e-07,"1 g","low activity","Mode"
"79",0.0141967651384118,2e-07,"1 g","low activity","Mode"
"80",0.0183138100890213,2.51e-07,"1 g","low activity","Mode"
"81",0.0233983340051581,3.16e-07,"1 g","low activity","Mode"
"82",0.0295128863671825,3.98e-07,"1 g","low activity","Mode"
"83",0.0367144810557741,5.01e-07,"1 g","low activity","Mode"
"84",0.0450937350999017,6.31e-07,"1 g","low activity","Mode"
"85",0.0546127706801051,7.94e-07,"1 g","low activity","Mode"
"86",0.0653175616418191,1e-06,"1 g","low activity","Mode"
"87",0.0771117004718515,1.26e-06,"1 g","low activity","Mode"
"88",0.0895558458993198,1.58e-06,"1 g","low activity","Mode"
"89",0.103242012049621,2e-06,"1 g","low activity","Mode"
"90",0.116858921868616,2.51e-06,"1 g","low activity","Mode"
"91",0.130766285174049,3.16e-06,"1 g","low activity","Mode"
